架构,测试类型,算法1,算法2,算法3,算法4,算法5,算法6
架构,排序,快速排序,归并排序,堆排序,Shell排序,基数排序,计数排序
架构,矩阵,标准乘法,分块乘法,Strassen乘法,矩阵转置,LU分解,矩阵求逆
架构,AES,加密,解密,,,,
架构,Dijkstra,标准算法,优化算法,,,,
x86_64,排序,21975,38640,24718,85325,8162,1847
x86_64,矩阵,291989,180399,107347,1533,45893,1341
x86_64,AES,11923,11605
x86_64,Dijkstra,2661,1008
